URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1847/34147929,Kenya,Nairobi,Kigaro,1965,07-09-2018,"History: The land was set aside for a burial purposes later on the land was submitted to the whole community where some of the built  their houses in the area,it was set aside by Mbari Ya Njiku As a cementry area.","Waterdrainage, Housing, Electricity, Sanitationsewage, Waterdrainage, Housing, Electricity, Sanitationsewage",500,450,low,N/A,N/A,NA,1:1,Pit latrine,N/A,N/A,N/A,yes,300,N/A,Disorganized deposit,tarred roads,"Bus, Walking",3,Yes,month,average,never,N/A,no,Unknown,no,Unknown,no,Unknown,"Generalshops, Foodshops"
https://sdinet.org/settlement/1847/1037842,Kenya,Nairobi,DAM VILLAGE,1905,27-02-2014,History: IT STARTED  DURING THE TRANSITIONAL PERIOD FROM ONE PARTY TO MULTYPARTY  POLITICS IN THE COUNTRY AND THERE WERE HEIGHTENED CLASHES IN MOLO AND NAROK.THE ADMINISRATION GAVE THIS LAND TO PEOPLE WHO HAD BEEN DISPLACED.RESIDENTS BEGUN TO PRACTICA SMSLL BUSINE,"Waterdrainage, Sanitationsewage, Housing, Housing, Landtenure, Waterdrainage, Sanitationsewage, Housing, Housing, Landtenure","1,480",306,high,"declared, legal, protected",N/A,NA,1:370,N/A,2,"2,",1:740,no,500,N/A,N/A,dirt paths,"Bus, Train, Motorbike",7,Yes,week,good,week,"PNEUMONIA, TYPOID, AMOEBA, MALARIA",yes,Unknown,yes,Unknown,yes,Unknown,"Generalshops, Foodshops, Clothingshops, Churches"
https://sdinet.org/settlement/1847/2316368,Kenya,Kisumu,FLAMINGO UNIT,1970,20-05-2014,History: THE SETTLEMENT WAS FORMED AS A RESULT OF RURAL URBAN   MIGRATION  PEOPLE SEARCH FOR GREENER PASTURES.PEOPLE WHO STAY WITHIN THE SETTLEMENT ARE LOW INCOME EARNERS. THERE WAS A BREWING CLUB CALLED FLAMINGO WHICH THE UNIT DERIVED ITS NAME FROM.,"Landtenure, Sanitationsewage, Electricity, Waterdrainage, Landtenure, Sanitationsewage, Electricity, Waterdrainage",N/A,334,None,"undeclared, illegal, unprotected",N/A,NA,1:0,N/A,N/A,N/A,N/A,yes,3,N/A,N/A,dirt paths,"Car, Motorbike",N/A,Yes,week,average,year,"MALARIA, TB, DIABETES, TYPOID",yes,30,yes,30,yes,30,"Generalshops, Informalmarkets, Foodshops, Temples, Mosques, Churches"
https://sdinet.org/settlement/1847/2965378,Kenya,Nairobi,RIVERSIDE,2002,01-06-2016,History: THE VILLAGE WAS FORMED IN THE YEAR 2002.IT IS ON THE WAY SIDE OF BIG STRAIN AGE FROM INDUSTRIAL AREA COMPANIES THOSE CALLING IT RIVERSIDE BECAUSE IT IS BETWEEN NGONG RIVER AND THE BIC DRAINAGE,"Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity, Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity","2,430",200,None,"declared, legal, protected",N/A,NA,1:152,N/A,N/A,N/A,1:135,yes,5,"""0""",N/A,N/A,Bus,1,Yes,month,N/A,N/A,"T.B, TYPHOID",yes,Unknown,yes,Unknown,yes,Unknown,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Mosques, Churches"
https://sdinet.org/settlement/1847/2327585,Kenya,Kisumu,GOT OWAK,1970,20-05-2014,"History: OWAK CAME FROM SAKWA, BONDO TO COME AND SETTLE HERE. HE WAS GIVEN A PLACE TO STAY , WENT TO SETTLE IN SOUTH NYANZZ AND HAVE A PLACE CALLED OWAK. THERE IS A HILL KNOWN AS GOT. THAT WAS WHY THE PLACE WAS CALLED GOT OWAK. HAVING COME AND SETTLED IN THE AREA, OWAK HAD A GOOD RELATION WITH THE RESIDENTS HENCE THE NAME WAS ADOPTED.","Sanitationsewage, Other, Other, Sanitationsewage, Other, Other","14,856",1414,None,"not, applicable",42,"24,Broken toilets:18",1:381,Flush,10,"10,","1:1,486",yes,240,2,N/A,gravel roads,"Motorbike, Walking",N/A,Yes,other,N/A,never,"MALARIA, INFLUENZA, COUGH",yes,Unknown,no,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/1847/666574,Kenya,Nairobi,48 ZONE,1970,02-06-2016,History: NA,"Waterdrainage, Housing, Landtenure, Sanitationsewage, Waterdrainage, Housing, Landtenure, Sanitationsewage","22,140",486,high,"declared, legal, protected",88,"88,Broken toilets:0",1:238,Pit latrine,4,"4,","1:5,535",yes,600,N/A,Disorganized deposit,dirt paths,"Bus, Train, Motorbike",4,Yes,week,bad,month,"CHOLERA, TYPHOID, MALARIA, HIV/AIDS",yes,Unknown,yes,Unknown,yes,Unknown,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Mosques, Churches"
https://sdinet.org/settlement/1847/9124973,Kenya,Kisumu,WESTERN A,1972,13-10-2016,History: It started because of the workers who were working for the EA railways who came to settle here,"Tenuresecurity, Sanitationsewage, Waterdrainage, Housing, Electricity, Tenuresecurity, Sanitationsewage, Waterdrainage, Housing, Electricity","11,225",1196,low,"declared, legal, protected",N/A,67,1:62,Pour flush,31,N/A,N/A,yes,450,N/A,Disorganized deposit,dirt paths,"Motorbike, Bicycle, Walking",20,Yes,month,average,week,"Malaria, Typhoid, Hiv, Other",yes,Unknown,yes,Unknown,yes,10 minutes,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Mosques, Churches, Carrepair"
https://sdinet.org/settlement/1847/659705,Kenya,Nairobi,COMMERCIAL,1999,25-05-2016,"History: GIVEN TO THE WOMEN BY MUNICIPALITY TO DO BUSINESS LATER WHEN SOME DECIDED TO LIVE HERE THEY STARTED BUILDING HOUSES TO LIVE INSTEAD OF SMALL KIOSK,BY THE YEAR 2000 MANY YOUTH STARTED BUSINESS HERE","Waterdrainage, Sanitationsewage, Electricity, Housing, Waterdrainage, Sanitationsewage, Electricity, Housing","5,782",255,None,"declared, legal, protected",40,"40,Broken toilets:0",1:138,Flush,4,"4,","1:1,446",yes,750,N/A,Individual bins,tarred roads,"Bus, Motorbike, Walking",N/A,Yes,month,good,month,"AIDS, COMMON COLD, TYPHOID",yes,Unknown,no,Unknown,no,Unknown,"Generalshops, Foodshops, Clothingshops, Furnitureshops"
https://sdinet.org/settlement/1847/1038221,Kenya,Nairobi,DIGO,1905,30-03-2014,History: DIGO IS IN MAJENGO AND WAS STARTED DURING THE COLONIAL TIMES WITH APOPULATION OF SEVEN FAMILIES WITH  THIRTEEN MEMBERS AND THE POPULATION HAS ROSE TO ELEVEN THOUSAND.THIS AREA WAS NAMED AFTER A CERTAIN MAN WHO LIVED HERE,"Housing, Waterdrainage, Electricity, Housing, Waterdrainage, Electricity","44,000",192,None,"declared, legal, protected",N/A,NA,"1:22,000",N/A,11,"11,","1:4,000",yes,600,1,Individual bins,dirt paths,"Bus, Motorbike, Walking",N/A,Yes,other,none,never,"HIV, TYPOID, TUBERCLOSIS",yes,Unknown,yes,Unknown,yes,Unknown,"Foodshops, Mosques, Churches"
https://sdinet.org/settlement/1847/1025223,Kenya,Nairobi,QUARRY VILLAGE,1905,26-02-2014,History: THE VILLAGE WAS ALOCATED FEW PEOPLE  FOR THE FIRST TIME  AND EVER SINCE THEN THE COMMUNITY HAS DEVELOPED.THE SETTLEMENT  LIES IN A GOVERNMENT LAND,"Waterdrainage, Housing, Sanitationsewage, Electricity, Waterdrainage, Housing, Sanitationsewage, Electricity","16,464",446,high,"declared, legal, protected",N/A,50,1:329,Flush,50,"50,",1:329,yes,600,N/A,N/A,dirt paths,"Bus, Train",10,Yes,month,N/A,never,"TYPOID, MALARIA, AIDS",yes,Unknown,yes,Unknown,yes,Unknown,"Generalshops, Informalmarkets, Foodshops, Clothingshops, Furnitureshops, Churches"
