URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/52117/43336229,Liberia,Monrovia,Soap tree community,1998,19-03-2019,"History: In 1998 this community was established and name after a tree called Soap tree for which today this settlement is known as Soap tree community. This settlement has an estimated population of about 1575 inhabitants with 123 permanent structures, 14 temporary structures and an average size of a family of 4. Since the establishment of the settlement the issues of safe drinking drink water, sanitation( toilet) and electricity and others are major challenges for the community.","Waterdrainage, Sanitationsewage, Other, Waterdrainage, Sanitationsewage, Other","6,300",140,None,"declared, legal, protected",N/A,NA,1:1,N/A,1,N/A,"1:6,300",no,N/A,N/A,Disorganized deposit,dirt paths,"Bus, Taxi, Motorbike",N/A,Yes,year,good,year,"Malaria, Malaria, Typhoid, Diarrhrea",yes,30 minutes,yes,30 minutes,yes,30 minutes,"Mosques, Churches"
https://sdinet.org/settlement/52117/39641182,Liberia,33002_paynesvilles,Wood Camp Community,1979,10-11-2018,"History: This community was establish in the 1979, during the Edwin J. Baclay regime. The name was derived form near by communities who usually used to go the Wood Camp to fetch wood for domestic purposes and sometimes commercial purpose. The land of the Wood Camp is originally owned by the Edwin J.Barclay family.","Waterdrainage, Sanitationsewage, Electricity, Other, Waterdrainage, Sanitationsewage, Electricity, Other","28,945",1131,None,"declared, legal, protected",N/A,NA,"1:28,945",N/A,N/A,N/A,N/A,yes,10,5,Common area inside settlement,dirt paths,"Bus, Taxi, Motorbike",3,N/A,year,good,year,"Malaria, Typhoid, Diarrhrea",yes,Unknown,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,"Banks, Informalmarkets, Furnitureshops, Mosques, Churches"
https://sdinet.org/settlement/52117/33222805,Liberia,Monrovia,J. DARPOE REEVES,1970,06-03-2019,"History: This place was recognize as community in 1970, but at that time it was known as old field community. In the early 1970 Mr J. Darpoe Reeves came and he became part, because he occupied half of the land the community leadership at that time name the community after him.He owed most of the land and almost all the people who presently live in the community bought their land from him.","Waterdrainage, Sanitationsewage, Electricity, Other, Waterdrainage, Sanitationsewage, Electricity, Other",0,NaN,None,"undeclared, illegal, unprotected",N/A,NA,1:0,N/A,N/A,N/A,N/A,no,350,N/A,Common area outside settlement,dirt paths,"Taxi, Motorbike",N/A,Yes,month,good,year,"Diarrhrea, Malaria, Malaria, Diarrhrea",yes,30 minutes,yes,more than 1 hour,yes,more than 1 hour,Informalmarkets
https://sdinet.org/settlement/52117/32206145,Liberia,Monrovia,Nyuan Panton,1928,12-04-2018,"History: Nyaunpanton is located in the borough of New Kru Town behind the access bank opposite Caldwell junction. It was established  in 1928 when people of the Nyan tribe settle in the area .The  settlement was named after the late Tetee Borbor who was one of  the first inhabitants to settle in the area. He was a member of the kru tribe and  the Nyuan section. He encourage his kings men to settle in the area now call Nyuanpanton. Many of the earlier inhabitants who settle in the area were members of the Nyuan section and as the area developed  into a community , people referred to it as 'Nyaunpanton' . This settlement has an estimated  population of 7100 inhabitants with the total of 253 structures of which 111 are permanent structures and 142 temporary structures. 
However this settlement experience flooding during the rainy season which poses high risk to its inhabitants.
.","Other, Housing, Waterdrainage, Sanitationsewage, Tenuresecurity, Other, Housing, Waterdrainage, Sanitationsewage, Tenuresecurity",N/A,255,None,"undeclared, illegal, unprotected",N/A,NA,1:0,N/A,13,N/A,1:0,yes,500,N/A,Disorganized deposit,dirt paths,"Bus, Taxi, Motorbike",N/A,Yes,month,good,quaterly,"Malaria, Typhoid, Diarrhrea, Tb",yes,Unknown,no,Unknown,no,Unknown,"Banks, Generalshops, Informalmarkets, Foodshops, Clothingshops, Mosques, Churches, Communications"
https://sdinet.org/settlement/52117/2275955,Liberia,Monrovia,0407 Dongarden,1970,06-03-2019,History: The place or settlement was named after an individual because he was a good and only gardener in the area so predicated upon this facct it was named Dongarden.,"Waterdrainage, Sanitationsewage, Landtenure, Housing, Electricity, Waterdrainage, Sanitationsewage, Landtenure, Housing, Electricity","7,000",1000,medium,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,20,N/A,N/A,yes,1550,1,Disorganized deposit,dirt paths,"Motorbike, Walking, Other",1,Yes,year,average,year,"Malaria, TB",no,Unknown,no,Unknown,no,Unknown,"Generalshops, Foodshops, Furnitureshops, Churches"
https://sdinet.org/settlement/52117/16413390,N/A,N/A,N/A,1970,01-01-1970,History: N/A,N/A,N/A,N/A,None,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,Unknown,N/A,Unknown,N/A
https://sdinet.org/settlement/52117/29685185,Liberia,Monrovia,Popo Beach Community,1976,16-04-2018,"History: In 1970, few Togolese fishermen (from the Popo tribe) came to Liberia and settle by the sea and were engaged in fishing activities. As the fishing activities boomed, the fishermen grew in their numbers and spread along the coast. Because of the huge number of Popo people in the new area, the place became known as �Popo Beach�. 
Popo Beach community lies on the coast of the Borough of New Kru Town and borders Cornel West, Point Four and Coast Guard Base communities. It has an estimated population of 5000 inhabitants with 195 permanent and 152 temporary structures. This settlement experiences massive sea erosion every year especially during the raining season. Flooding also affect many homes during the raining season and sometimes forced residents to temporarily relocate. The community is divided into four administrative blocks and has a central leadership.","Other, Housing, Waterdrainage, Other, Other, Other, Housing, Waterdrainage, Other, Other","4,980",347,None,"undeclared, illegal, unprotected",N/A,NA,"1:2,490",N/A,8,N/A,1:623,yes,800,N/A,Common area inside settlement,dirt paths,"Taxi, Motorbike",N/A,Yes,other,average,other,"Malaria, Typhoid, Tb",yes,Unknown,yes,30 minutes,yes,Unknown,Churches
https://sdinet.org/settlement/52117/16413393,Liberia,Monrovia,Crab Hole Community,1985,04-10-2018,"History: This place was establish in 1985 before then it was cover with plamtrees bushes, and wild animals. after 1990 war many migrated here and work had to make it better.","Waterdrainage, Sanitationsewage, Other, Waterdrainage, Sanitationsewage, Other",0,0,None,"declared, legal, protected",N/A,9,1:0,Pour flush,N/A,N/A,N/A,no,N/A,N/A,Common area inside settlement,dirt paths,"Bus, Taxi",1,Yes,month,good,year,"Malaria, Typhoid, Diarrhrea",no,Unknown,no,Unknown,no,Unknown,"Generalshops, Foodshops, Churches"
https://sdinet.org/settlement/52117/39913116,Liberia,Monrovia,Transfermer Community,1970,09-01-2019,"History: This community was first known as Sinkor Old Road Community, it was a private land owned by the Edwin J. Gabbadom family. However Mr. Gabbadom was also selling  land areas with in the settlement to people.  Under the administration of the pressident William R. Tolbert the government constructed a sub-station for the Liberia Electricity Coorperation (LEC) on the land of the Gbabadom family at the front view in 1980. After the construction many residents started to call the settlement Transfermer Community. Later in 90s a Liberian busines man  build a guest house with in the settlement and named it Kailando Guest House, which cause a name conflict for the settlement, others started to refer to the community as Kailando community. 
Since the establishment of this settlement the community has been face with challenges such as, poor publich health facilities. In addition due to the low income of community dwellers, the community has lots of temporay structure. The community is divided into four blocks Block A-D and has ligitimate leadership that is charged with responsibilities of governing the settlement and resolve conflict.","Other, Waterdrainage, Sanitationsewage, Other, Other, Other, Waterdrainage, Sanitationsewage, Other, Other","4,146",471,None,"declared, legal, protected",N/A,NA,1:691,N/A,N/A,N/A,N/A,yes,1000,N/A,Common area inside settlement,dirt paths,"Taxi, Motorbike, Walking",N/A,Yes,quaterly,none,other,"Malaria, Tb, Typhoid, Diarrhrea",yes,30 minutes,no,Unknown,yes,30 minutes,"Foodshops, Mosques, Churches, Carrepair"
https://sdinet.org/settlement/52117/16619843,N/A,N/A,N/A,1970,01-01-1970,History: N/A,N/A,N/A,N/A,None,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,Unknown,N/A,Unknown,N/A
