URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1863/49446317,Nigeria,N/A,Deinma Polo,1913,15-07-2015,"History: Our Fathers leave here as a fishing settlement in the early ninetieths  it was a temporal structure before we started permanent structure in 1990 the first settlers are simeon Akalaiobo, Abraham Tamuno, Tadiki Daka, Pa Emmanuel, Alalibo Alalibo, Pa Joel, Aise Jumbotoka Aminadoki Daka, all of blessed memories, Leah Sam, Mr, Fyne-counting aka land of canaan , Bipise Alasoma akedn, Ibi-bia Eken mentioned but a few of them. but for administrative purpose we divide ourselves into communities as we develop and expand.","Other, Tenuresecurity, Electricity, Other, Tenuresecurity, Electricity","3,000",210,None,"declared, legal, protected",1,"1,Broken toilets:0","1:1,000",Hanging toilet,1,"4,",1:600,yes,1800,N/A,Common area inside settlement,dirt paths,"Bus, Car, Taxi",N/A,Yes,fortnighly,bad,never,"Malaria, Typhoid, Diarrhrea",yes,5 minutes,yes,30 minutes to 1 hour,yes,30 minutes,"Generalshops, Foodshops"
https://sdinet.org/settlement/1863/4356845,Nigeria,Port Harcourt,Amagboribipi Polo,1913,15-11-2015,History: Began  In  1913  When  Harcourt came unto the religion chief  Daniel Ojukhn,"Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity, Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity","9,885",488,None,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,9000,1,Common area inside settlement,dirt paths,Walking,1,Yes,other,average,never,"Malaria, Measles, Diarrhea, Cold",yes,10 minutes,yes,10 minutes,yes,10 minutes,"Playground, Generalshops, Foodshops, Clothingshops, Furnitureshops, Churches"
https://sdinet.org/settlement/1863/50273223,Nigeria,Port Harcourt,Ala polo[ALASE AMA],1970,26-08-2019,"History: The man called Ala came ti this settlement because of the river,he used to come and fish there after some time he decided to settle here,so as to enable him do business like fishing and selling of the fish to others he gave birth to four children which their names(1)Ala Junior (2)Kaladarkiri (3)Jeinyebarimieka(4)Ibi imama","Waterdrainage, Sanitationsewage, Electricity, Waterdrainage, Sanitationsewage, Electricity","4,806",332,None,"declared, legal, protected",50,"40,Broken toilets:10",1:120,Flush,N/A,N/A,N/A,yes,6200,2,Common area outside settlement,dirt paths,"Bus, Taxi",N/A,Yes,other,bad,quaterly,"Malaria, Typhoid, Diarrhrea",yes,Unknown,yes,30 minutes,yes,30 minutes,Playground
https://sdinet.org/settlement/1863/3036236,Nigeria,Port Harcourt,Tarikoro Polo,1910,27-03-2018,"History: The name Tarikoro Polo existed before the year 2000 and was governed by the then chairman Johnwill Moses. Before another community broke out called Ibitien Polo. And so the name was re-established in 2007 and still remained Tarikoro Polo. 
we are people from okrika and we settled here because of the rivers so we can fish and give our wifes to go and sale the near by market","Waterdrainage, Sanitationsewage, Electricity, Housing, Waterdrainage, Sanitationsewage, Electricity, Housing","2,700",161,None,"not, applicable",N/A,NA,"1:2,700",N/A,N/A,N/A,N/A,yes,3600,N/A,Common area outside settlement,dirt paths,"Bus, Taxi, Walking",21,Yes,quaterly,none,other,"Malaria, Diarrhrea, Typhoid, Hiv",yes,30 minutes,yes,30 minutes,yes,30 minutes to 1 hour,"Generalshops, Foodshops, Clothingshops, Churches, Communications"
https://sdinet.org/settlement/1863/1905667,Nigeria,Lagos,Irede,1985,15-03-2015,"History: The first settlers were fishermen from Awuri land and gradually others came in. Civil servants business men, millitary, (para-military) personnel.","Waterdrainage, Electricity, Landtenure, Sanitationsewage, Other, Waterdrainage, Electricity, Landtenure, Sanitationsewage, Other","2,000",152,None,"declared, legal, protected",197,"150,Broken toilets:47",1:8,Flush,4,"4,",1:500,no,N/A,N/A,Common area inside settlement,N/A,"Motorbike, Walking, Other",N/A,Yes,month,none,never,"Malaria, Flu, Thyphoid",yes,5 minutes,yes,5 minutes,yes,5 minutes,N/A
https://sdinet.org/settlement/1863/35938665,Nigeria,Port Harcourt,Darick Polo,1903,05-10-2018,History: This is a place were our fore fathers settled to fish as a fishing port which is known as borokiri (meaning fishing port) around 1903 but we had only temporal structures and we moved to okrika during festival periods and during the civil war but we settled permanently after the civil war we are a community under olomu-ogbogbo ama our community was a complete mangrove forest developed by us with the use of mud.,"Other, Other",912,90,None,N/A,N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,300,N/A,Disorganized deposit,dirt paths,"Bus, Taxi, Walking",1,Yes,fortnighly,good,week,"Malaria, Typhoid, Diarrhrea, Hiv",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,"Policestations, Generalshops, Foodshops, Clothingshops, Churches"
https://sdinet.org/settlement/1863/50926400,Nigeria,Port Harcourt,Kuroseidiema Polo,1839,22-08-2019,"History: Our ancient father Chief Okujagu  and Chief Amoni Chief Okorie Chief Bagshaw and others found the isettlement for fishing , digging and selling of sand during the process they settled here and use it as their home, because they saw that the place was very conducive for them.","Electricity, Sanitationsewage, Electricity, Sanitationsewage","5,580",391,None,"declared, legal, protected",1240,"1240,Broken toilets:0",1:5,Flush,N/A,N/A,N/A,yes,3000,2,Common area outside settlement,gravel roads,"Bus, Taxi, Walking",N/A,Yes,quaterly,N/A,never,"Malaria, Typhoid",yes,10 minutes,no,Unknown,no,Unknown,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Churches"
https://sdinet.org/settlement/1863/3477668,Nigeria,Lagos,Ogogoro Village,1905,08-11-2018,"History: The settlement is owned by the Onisiwo family. The people that are staying there are the yoruba, Egun and Ijaw people who have been staying there for the past 80 years.","Electricity, Housing, Sanitationsewage, Waterdrainage, Electricity, Electricity, Housing, Sanitationsewage, Waterdrainage, Electricity",799,315,None,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,no,27000,N/A,Common area inside settlement,dirt paths,"Walking, Other",N/A,Yes,week,average,month,"Malaria, Diarrhrea, Cholera, Typhoid",yes,more than 1 hour,yes,Unknown,no,Unknown,"Generalshops, Foodshops, Furnitureshops, Churches"
https://sdinet.org/settlement/1863/47214074,Nigeria,Port Harcourt,Belema polo,1912,20-07-2015,"History: The place existed during the fore fathers and when we met Mr Christopher,Mr Ezekiel Oba,Maclam Ambamba isbiri,Pa Clement Iyalla ,Mr Fopeya,Adawo Burunsolaka etc.We meet them living at the place in 1970 till now.They are fishermen and women'traders and business men and women.it was when the portuguse bought over their settlement they decided to come over to the water side because of their fishing trade.","Waterdrainage, Electricity, Tenuresecurity, Housing, Sanitationsewage, Waterdrainage, Electricity, Tenuresecurity, Housing, Sanitationsewage","3,124",219,None,N/A,70,"100,Broken toilets:-30",1:31,Flush,N/A,N/A,N/A,yes,N/A,N/A,N/A,gravel roads,"Taxi, Walking, Other",N/A,Yes,month,good,N/A,"Malaria, Typhoid",yes,15 minutes,yes,15 minutes,yes,30 minutes to 1 hour,"Foodshops, Clothingshops, Temples, Churches, Communications"
https://sdinet.org/settlement/1863/47733629,Nigeria,Port Harcourt,Elechi phase 3,1980,29-11-2015,"History: Our father and mothers were fishermen, firewood tappers and periwinkles pickers  so they come here to do there business, so they decide to settle down here and some people came to join them. this is was how the community came to be","Waterdrainage, Sanitationsewage, Electricity, Waterdrainage, Sanitationsewage, Electricity","4,310",178,None,"declared, legal, protected",4,"1,Broken toilets:3",1:616,Pour flush,3,N/A,"1:2,155",yes,6200,N/A,Common area inside settlement,dirt paths,"Bus, Taxi, Walking",1,Yes,quaterly,N/A,never,"Malaria, Typhoid, Diarrhrea, Hiv",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,Churches
