URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1859/52349171,Philippines,N/A,PUROK BARUNGOY,1970,10-06-2019,"History: SINCE THE BRGY. DAWIS IS LOCATED NEAR TO THE SEA, THE NAME OF PUROKS ARE AFTER THE NAME OF THE FISHES.","Tenuresecurity, Housing, Waterdrainage, Sanitationsewage, Other, Tenuresecurity, Housing, Waterdrainage, Sanitationsewage, Other",0,0,medium,N/A,9,"9,Broken toilets:0",1:0,Pour flush,N/A,N/A,N/A,yes,N/A,1,Skip,gravel roads,"Car, Motorbike, Walking",N/A,N/A,never,N/A,N/A,"Tb, Typhoid, Diarrhrea, Other",yes,5 minutes,no,Unknown,yes,30 minutes,N/A
https://sdinet.org/settlement/1859/26265759,Philippines,Davao,Purok 15 Golden Shower,1991,12-03-2018,History: Builed up an association for them to aquire a land acquisition.,"Tenuresecurity, Housing, Sanitationsewage, Tenuresecurity, Tenuresecurity, Tenuresecurity, Housing, Sanitationsewage, Tenuresecurity, Tenuresecurity",650,NaN,low,"undeclared, illegal, unprotected",130,"130,Broken toilets:0",1:5,Pour flush,130,"130,",1:5,yes,N/A,2,Common area inside settlement,tarred roads,Motorbike,4,Yes,month,average,month,"Other, Tb, Diarrhrea, Other",yes,30 minutes,yes,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1859/15867032,Philippines,Malabon,Samahan Pagkakaisa ng Dumpsite Catmon,1999,22-05-2017,"History:  Previous dumpsite,fishfund,corn plantation, then many stakeholdres come to help them landfill the site with the help of the association member","Tenuresecurity, Waterdrainage, Housing, Electricity, Other, Tenuresecurity, Waterdrainage, Housing, Electricity, Other","1,113",178,None,"declared, legal, protected",159,"159,Broken toilets:0",1:7,Pour flush,159,"159,",1:7,yes,200,3,Common area inside settlement,tarred roads,"Car, Motorbike, Walking",N/A,Yes,week,good,month,"Tb, Diarrhrea, Other, Other",yes,30 minutes,yes,30 minutes,yes,more than 1 hour,"Generalshops, Furnitureshops"
https://sdinet.org/settlement/1859/15928445,Philippines,Malabon,PPA-People's Power Assn.,1986,13-05-2017,"History:  
Previously I water it, more garbage, smelly and with flies, no mound, no light, no water","Tenuresecurity, Waterdrainage, Sanitationsewage, Other, Other, Tenuresecurity, Waterdrainage, Sanitationsewage, Other, Other","1,425",287,None,"declared, legal, protected",285,"285,Broken toilets:0",1:5,Pour flush,N/A,N/A,N/A,yes,200,7,Common area outside settlement,N/A,"Taxi, Other",N/A,Yes,never,average,year,Tb,yes,30 minutes,no,Unknown,yes,30 minutes,"Informalmarkets, Churches"
https://sdinet.org/settlement/1859/10289046,Philippines,Iloilo,SAN ISIDRO-8 ZONE,1911,26-01-2016,History:  SAN ISIDRO WAS CREATED DURING THE PLEBISCITE OF 1911. IT HAS A TOTAL LAND AREA  166.24 HECTARES WHICH IS DIVIDED INTO 8 ZONES,"Tenuresecurity, Other, Sanitationsewage, Sanitationsewage, Other, Tenuresecurity, Other, Sanitationsewage, Sanitationsewage, Other","3,495",797,None,"declared, legal, protected",1,"1,Broken toilets:0","1:3,495",Pour flush,11,"11,",1:6,yes,250,2,Common area inside settlement,gravel roads,"Walking, Other",1,Yes,week,average,quaterly,"Other, Other",yes,Unknown,yes,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/1859/15868054,Philippines,Malabon,Samahan sa Dulo ng Hernandez Inc. HOA (SDHI),1993,11-05-2017,History:  The location used to have stagnant water. The people living there was advised to start a community so they could request a motor pump to siphon the water.,"Tenuresecurity, Waterdrainage, Housing, Electricity, Tenuresecurity, Waterdrainage, Housing, Electricity",270,46,None,"declared, legal, protected",46,"46,Broken toilets:0",1:6,Flush,46,"46,",1:6,yes,N/A,3,Individual bins,dirt paths,"Motorbike, Bicycle, Walking",N/A,Yes,year,good,year,"Other, Diarrhrea, Other, Other",yes,15 minutes,no,Unknown,yes,more than 1 hour,"Generalshops, Communications, Carrepair"
https://sdinet.org/settlement/1859/26444533,Philippines,Davao,"Purok 19 San Gabriel, Mintal",1996,13-03-2018,"History: Military Reservation, More Residents are in the militaryFamily","Tenuresecurity, Waterdrainage, Other, Tenuresecurity, Tenuresecurity, Tenuresecurity, Waterdrainage, Other, Tenuresecurity, Tenuresecurity",600,183,None,"declared, legal, protected",150,"150,Broken toilets:0",1:4,Flush,100,"150,",1:4,yes,300,1,Common area inside settlement,tarred roads,Motorbike,3,Yes,month,average,year,"Other, Other, Other, Other",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,"Playground, Generalshops, Foodshops, Clothingshops, Churches, Communications"
https://sdinet.org/settlement/1859/48801754,Philippines,Kidapawan,Purok Mangga,1970,17-07-2019,History: N/A,"Tenuresecurity, Waterdrainage, Waterdrainage, Electricity, Sanitationsewage, Tenuresecurity, Waterdrainage, Waterdrainage, Electricity, Sanitationsewage",205,50,None,"undeclared, illegal, unprotected",N/A,29,1:7,Pour flush,38,"12,",1:17,yes,300,2,Common area inside settlement,tarred roads,Walking,N/A,Yes,month,average,year,"Tb, Diarrhrea, Other",yes,30 minutes to 1 hour,no,Unknown,yes,10 minutes,N/A
https://sdinet.org/settlement/1859/15917482,Philippines,Malabon,Flordeliz Village HOA Phase 8 (FLOVI 8 ),1992,23-05-2017,"History: The location was once fishpond.
Most people in the community are from the province of Samar and Masbate, Bicol .
Increase of people who were granted land rights; some sold their land.
People could still fish back then because the water was clean.","Tenuresecurity, Waterdrainage, Electricity, Sanitationsewage, Other, Tenuresecurity, Waterdrainage, Electricity, Sanitationsewage, Other","1,605",268,None,"declared, legal, protected",N/A,187,1:9,Pour flush,215,"53,",1:6,yes,900,5,Disorganized deposit,tarred roads,"Bus, Motorbike, Other",1,Yes,month,good,never,"Other, Other, Other, Other",yes,30 minutes,no,Unknown,yes,30 minutes to 1 hour,"Generalshops, Informalmarkets, Foodshops, Clothingshops, Communications"
https://sdinet.org/settlement/1859/50478634,Philippines,Kidapawan,Purok Guyabano,1992,04-06-2019,"History: People living in this area before are farmers, the planted fruits and vegetables, but times goes by and the city was develop, they stop farming and they work in the city.","Tenuresecurity, Housing, Waterdrainage, Sanitationsewage, Tenuresecurity, Housing, Waterdrainage, Sanitationsewage",350,70,None,"undeclared, illegal, unprotected",34,"34,Broken toilets:0",1:8,Pour flush,11,"25,",1:10,yes,150,1,Common area outside settlement,tarred roads,Motorbike,N/A,Yes,month,good,month,"Other, Tb, Diarrhrea",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,N/A
