URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1849/193964,Tanzania,Dar es Salaam,KIMBANGULILE,1970,14-11-2016,"History: THIS SETTLEMENT WAS ESTABLISHED ON 2000. BEFORE THIS SETTLEMENT WAS ESTABLISHED THE AREA WAS OCCUPIED BY CASSAVA AND PINEAPPLE TREES. ALSO THERE WAS A VALLEY IN WHICH A SMALL WELL WAS DUG WITHIN IT. SUCH WELL WAS HAVING A TENDENCY OF NOT GETTING DRY AND IT WAS CALLED KIMBANGULILE, HENCE THE SETTLEMENT WAS NAMED AFTER SUCH WELL KIMBANGULILE.","Other, Waterdrainage, Other, Other, Sanitationsewage, Other, Waterdrainage, Other, Other, Sanitationsewage","10,800",1629,None,"declared, legal, protected",1615,"1615,Broken toilets:0",1:6,Flush,N/A,N/A,N/A,yes,30000,7,Individual bins,dirt paths,"Bus, Motorbike, Walking",4,Yes,month,good,other,"MALARIA, CHICKEN POX, CHOLERA, TB",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1849/220955,Tanzania,Dar es Salaam,MAGURUMBASI  A,1970,06-12-2016,History: INITIALLY THERE WAS A MANGO TREE WHERE PEOPLE GATHERED TO PLAY DRUMS. ALSO THERE WERE BANANA AND RICE FARMING AREAS. ON 1968 PEOPLE WERE ALLOWED TO ESTABLISH THEIR SETTLEMENTS.,"Electricity, Other, Sanitationsewage, Other, Waterdrainage, Electricity, Other, Sanitationsewage, Other, Waterdrainage","10,560",904,None,resettled,855,"855,Broken toilets:0",1:12,Flush,10,"10,","1:1,056",yes,4000,2,Individual bins,gravel roads,"Bus, Taxi, Motorbike",6,Yes,never,good,never,"MALARIA, HIV/AIDS, TB, DIARRHEA",yes,20,no,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/1849/3092263,Tanzania,Dar es Salaam,BARABARA YA MWINYI,2009,30-11-2017,"History: BACK THEN THE SETTLEMENT WAS CALLED KILUNGULE VILLAGE KILUNGULE IS A ZARAMO WORD WHICH MEANS BURNT COMPLETELY.IT WAS CALLED SO BECAUSE DURING 1960 ANYBODY WHO SHIFTED IN THAT SETTLEMENT EVEN IF HE/SHE IS WEALTH ALL HIS/HER WEALTH WILL BE LOST AND THAT FACT WAS TERMED ""BURNT COMPLETE"" OR KILUNGULE IN ZARAMO TRIBE","Other, Other, Other, Other, Other, Other, Other, Other, Other, Other","1,700",570,None,resettled,N/A,120,1:3,Flush,N/A,N/A,N/A,yes,60000,N/A,Individual bins,dirt paths,"Bus, Motorbike, Walking",3,Yes,month,average,week,"MALARIA, DIARRHEA, CHOLERA, UTI",no,Unknown,no,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/1849/202190,Tanzania,Dar es Salaam,MBANDE MAGENGENI,2004,05-12-2016,"History: THE SETTLEMENT WAS STARTED ON 2004. BACK THE BEFORE BECOMING A STREET THE AREA WAS OCCUPIED BY A SMALL VILLAGE. THAT WAS DURING 1975 WHERE BY MR. SEFU KILINDI WAS A CHAIRPERSON OF THE H ARMLET. SOME PEOPLE WHO WERE THE EARLY DWELLER OF THE SETTLEMENT ONCE IT WAS STILL A H ARMLET INCLUDES MR. MAJUMBA YUSUFU MKEMI, MR. SANZE, MR. MINDU AND MR. ALLY SELEMANI.","Landtenure, Other, Electricity, Other, Other, Landtenure, Other, Electricity, Other, Other","31,248",2604,None,"declared, legal, protected",2577,"2577,Broken toilets:0",1:12,Flush,N/A,N/A,N/A,yes,30000,7,Common area inside settlement,dirt paths,"Bus, Car, Motorbike",N/A,Yes,other,average,other,"MALARIA, TYPHOID FEVER, HIV/AIDS, TB",yes,Unknown,yes,Unknown,yes,30,N/A
https://sdinet.org/settlement/1849/3638403,Tanzania,Dar es Salaam,NYAMBWELA,1999,01-12-2017,"History: THIS SETTLEMENT WAS INITIALLY CALLED KILIMAHEWA.THERE WAS A WOMEN WHO WAS A SETTLEMENT ADMINISTRATION MEMBER WHO WAS CALLED NYAMBWELA.AFTER DIVING THE SETTLEMENT IT WAS PROPOSED THAT THE NEW FORMED SETTLEMENT SHOULD BE GIVEN THE NAME OF THET WOMEN,THAT IS WHY IT WAS NAMED NYAMBWELA.","Other, Other, Other, Other, Other, Other, Other, Other, Other, Other","8,029",727,high,resettled,30,"30,Broken toilets:0",1:15,Pit latrine,2,"30,",1:268,yes,30000,7,Common area inside settlement,dirt paths,"Bus, Motorbike",N/A,Yes,month,good,month,"MALARIA, UTI, TYPHOID, HIV",yes,30 minutes,yes,30 minutes,yes,30 minutes,"Generalshops, Informalmarkets, Foodshops, Furnitureshops, Mosques, Churches"
https://sdinet.org/settlement/1849/1012073,Tanzania,Dar es Salaam,BOMBANI,1999,27-11-2017,"History: IN 1954 THE NAME WAS KNOW TO BE PUGU,THE WORD PUGU MEANS THERE TREES CALLED PUGU,THIS TREE WERE MOSTLY USED FOR CONSTRUCTION.","Other, Other, Other, Other, Other, Other, Other, Other, Other, Other","94,000",5500,None,resettled,1500,"1500,Broken toilets:0",1:27,Pit latrine,30,"30,","1:3,133",yes,90000,3,Common area inside settlement,dirt paths,"Bus, Motorbike",N/A,Yes,N/A,good,other,"MALARIA, UTI, TYPHOID, T.B",yes,Unknown,yes,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/1849/196120,Tanzania,Dar es Salaam,MAGURUMBASI B,1970,14-11-2016,"History: THERE WAS A COCONUT GROWN AREA OWNED BY ARABS, MR MAGURUMBASI WAS WORKING AS A GUARD FOR ARABS PEOPLE  AND BECOME VERY FAMOUS LEADING TO THE PLACE","Other, Other, Other, Other, Other, Other, Other, Other, Other, Other","4,272",505,None,"declared, legal, protected",N/A,485,1:9,Pour flush,70,"70,",1:61,yes,45000,1,Individual bins,dirt paths,"Bus, Motorbike",N/A,Yes,other,good,other,"MARALIA, TYPHOD FEVER, CHOLERA, TB",yes,Unknown,yes,Unknown,yes,Unknown,"Generalshops, Foodshops, Clothingshops, Mosques, Churches, Communications"
https://sdinet.org/settlement/1849/230253,Tanzania,Dar es Salaam,KIGOGO KATI,1975,29-11-2017,"History: THE SETTLEMENT WAS STARTED IN 1975 AND IS WAS NAME ""MAGENGE MENGI"" BECAUSE THERE WERE SO MANY ""FOOD STALLS"" WHICH ARE ALSO KNOWN AS ""MAGENGE"" IN SWAHILI LANGUAGE. LATER ON THE GOVERNMENT PROPOSED THAT AT THE AREA WHERE THERE WERE FOOD STALLS A HOSPITAL SHOULD BE CONSTRUCTED. FOLLOWING THAT PROPOSAL A HOSPITAL WAS BUILT AND IT IS KNOWN AS ""MAGENGE MENGI"" HOSPITAL UP TO NOW. IT WAS UNTIL 1992 WHEN THE SETTLEMENT NAME WAS CHANGED AND NAMED ""KIGOGO KATI"" BECAUSE IT IS LOCATED IN THE MIDDLE OF KIGOGO WARD. IT IS AT THE CENTER OF KIGOGO WARD. ""KATI"" IS A SWAHILI WORD WHICH MEANS ""MIDDLE"" OR ""CENTER"".","Waterdrainage, Other, Other, Other, Sanitationsewage, Waterdrainage, Other, Other, Other, Sanitationsewage","19,380",2617,low,resettled,N/A,NA,1:12,Pit latrine,N/A,N/A,N/A,yes,45000,1,Individual bins,gravel roads,"Bus, Walking",3,Yes,other,N/A,month,"MALARIA, CHEST DIDEASES, UTI, DIARRHEA",yes,Unknown,yes,30 minutes,yes,30 minutes,"Playground, Generalshops, Foodshops, Clothingshops, Mosques, Churches"
https://sdinet.org/settlement/1849/231664,Tanzania,Dar es Salaam,TANDALE SOKONI,1981,29-11-2017,"History: BEFORE BECOMING A SETTLEMENT THE AREA WAS OCCUPIED BY RICE FARMING AREAS. OWNERS OF THOSE FARMING AREAS WERE MR. TOGOLA, MR. BENGO NYANKUMBA, MR. ALLY JUNGU, MRS. MTUMWA AND MR. SHARIFA. THEY LATER ON SOLD THEIR FARMING AREAS TO OTHER PEOPLE WHO STARTED TO ESTABLISH HOUSES RESULTING TO THE CURRENT SETTLEMENT.","Waterdrainage, Other, Sanitationsewage, Other, Other, Waterdrainage, Other, Sanitationsewage, Other, Other","24,792",1464,None,resettled,1140,"1140,Broken toilets:0",1:22,Flush,8,"7,","1:3,542",yes,45000,N/A,Common area inside settlement,dirt paths,"Bus, Taxi, Motorbike",1,Yes,other,good,other,"MALARIA, UTI, TYPHOID, TB AND HYDROCELE",yes,30 minutes,yes,30 minutes,yes,30 minutes,"Playground, Policestations, Generalshops, Clothingshops, Mosques, Churches, Communications"
https://sdinet.org/settlement/1849/981075,Tanzania,Dar es Salaam,KIMARA BARUTI,2010,07-12-2017,History: BARUTI CONTAINER WHICH WAS OWNED BY THE GOVERNMENT WAS HAVING EXPLOSIVE THINKS THE STREET WAS CALLED KIMARA BARUTI.,"Other, Other, Other, Other, Other, Other, Other, Other, Other, Other","12,894",1918,None,resettled,700,"700,Broken toilets:0",1:9,Pit latrine,1000,"1000,",1:13,yes,50000,1,Individual bins,dirt paths,"Bus, Taxi, Motorbike",N/A,Yes,never,average,never,"MALARIA, UTI, FUNGAS, TYPHOID",yes,Unknown,yes,Unknown,yes,Unknown,"Informalmarkets, Furnitureshops, Mosques, Churches"
