URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1851/1244803,Uganda,Entebbe,Katabi-Kitubulu,1830,24-03-2017,History: The place was established by Kabaka Mutesa I who gave the land to the Nubians who came from Sudan fight on behalf of whites.,"Sanitationsewage, Waterdrainage, Other, Other, Other, Sanitationsewage, Waterdrainage, Other, Other, Other","4,800",895,high,"undeclared, illegal, unprotected",2,"736,Broken toilets:-734",1:5,Pit latrine,1000,"990,",1:5,yes,24000,3,Common area inside settlement,dirt paths,"Taxi, Motorbike, Bicycle",35,Yes,year,good,other,"Malaria, Typhoid, Hiv, Tb",yes,Unknown,yes,30 minutes,yes,30 minutes,N/A
https://sdinet.org/settlement/1851/2569505,Uganda,Kampala,Katanga,1970,23-02-2017,"History: The presence of activities on site similar to those noted in 'Katanga' located in Congo that is to say drunkard tendencies, prostitution, hooliganism","Waterdrainage, Sanitationsewage, Waterdrainage, Electricity, Other, Waterdrainage, Sanitationsewage, Waterdrainage, Electricity, Other","5,000",250,high,"undeclared, illegal, unprotected",N/A,NA,1:833,N/A,20,"20,",1:250,yes,36000,2,Individual bins,dirt paths,"Taxi, Motorbike, Walking",5,Yes,other,good,month,"Malaria, Hiv, Diarrhrea, STDs",yes,Unknown,yes,30 minutes,yes,Unknown,N/A
https://sdinet.org/settlement/1851/1147323,Uganda,Gulu,Industrial Area,1983,21-03-2017,History: It was to be for Alokolum customary land and later on during Obote one time lendu from congo came as reffugee and lukore from sudan and later on during Obote tow the place was planed to be industrial area and it used to be IDPs camp which large number of peaple,"Waterdrainage, Other, Other, Electricity, Other, Waterdrainage, Other, Other, Electricity, Other","9,000",580,None,"not, applicable",N/A,2094,1:2,Pit latrine,26,"24,",1:375,yes,30000,2,Common area inside settlement,tarred roads,"Motorbike, Walking",7,Yes,week,bad,never,"Malaria, Hiv, Other, Diarrhrea",yes,Unknown,yes,Unknown,no,Unknown,"Generalshops, Informalmarkets, Foodshops, Furnitureshops, Churches, Carrepair"
https://sdinet.org/settlement/1851/921877,Uganda,Jinja,Rippon - Loco,1947,21-03-2017,"History: Swampy zone , in the 70's Mutima and Kaddu began trade along the road to Jinja townfrom the lake islands, J.M.C. authorised the trade operations in 1972, URC constructionzone, URC Loco settlement. Works- former workers to the ministry of works","Sanitationsewage, Housing, Other, Electricity, Other, Sanitationsewage, Housing, Other, Electricity, Other","2,400",512,None,"undeclared, illegal, unprotected",N/A,NA,1:400,N/A,8,"8,",1:150,yes,12000,2,Individual bins,dirt paths,"Motorbike, Bicycle, Walking",5,Yes,month,average,year,"Other, Diarrhrea, Hiv, Malaria",yes,30,yes,30,yes,1,N/A
https://sdinet.org/settlement/1851/472141,Uganda,Kampala,Kisenyi 1,1986,22-02-2017,History: It was Mengo municipality having the Katikiro's residence and his ministers and it is where the Kabaka used to get entertained from many cultural sites near Mengo.,"Other, Electricity, Other, Other, Waterdrainage, Other, Electricity, Other, Other, Waterdrainage","2,400",700,None,"undeclared, illegal, unprotected",2,"80,Broken toilets:-78",1:27,Flush,10,"80,",1:28,yes,20000,2,Individual bins,dirt paths,"Motorbike, Walking",20,Yes,month,good,other,"Skin rush, Malaria, Diabetes, Bedbugs",yes,5,yes,15 minutes,yes,30,N/A
https://sdinet.org/settlement/1851/2542955,Uganda,Kampala,Nateete,1969,24-04-2017,"History: The place was occupied by glass planted called ""teete"" called by Uganda martyrs so the name nateete came up in that form.  that was in 1969","Other, Other, Waterdrainage, Other, Other, Other, Other, Waterdrainage, Other, Other","45,000",4000,None,"undeclared, illegal, unprotected",2,"98,Broken toilets:-96",1:187,Pit latrine,500,"500,",1:90,yes,48000,1,Individual bins,dirt paths,"Taxi, Motorbike, Walking",30,Yes,other,bad,never,"Malaria, Dearhea, Measles, Congh",yes,Unknown,yes,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1851/1126660,Uganda,Kampala,Northern ward,1970,16-03-2017,History: The place used to be called kahoora meaning paying tax that was done by people every time they came to town to sell their things,"Waterdrainage, Landtenure, Other, Sanitationsewage, Other, Waterdrainage, Landtenure, Other, Sanitationsewage, Other","3,000",450,None,"undeclared, illegal, unprotected",N/A,20,1:17,Pit latrine,200,"150,",1:20,yes,45000,N/A,Individual bins,dirt paths,"Taxi, Motorbike",1,Yes,month,average,month,"Malaria, Cough, HIV, Diahroea",yes,Unknown,no,Unknown,no,Unknown,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Mosques, Churches, Communications, Carrepair"
https://sdinet.org/settlement/1851/2552460,Uganda,Kampala,Kawaala,1800,24-03-2017,History: The area had a certain man who had many daughters(abawala) hence the name Kawaala(many girls),"Other, Other, Waterdrainage, Other, Other, Other, Other, Waterdrainage, Other, Other","42,000",5500,None,"undeclared, illegal, unprotected",4,"4,Broken toilets:0","1:3,231",Pit latrine,300,"270,",1:156,yes,30000,1,Individual bins,dirt paths,"Taxi, Motorbike, Walking",30,Yes,year,average,year,"Malaria, Malaria, Typhoid, Diarrhrea",yes,Unknown,yes,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1851/1207308,Uganda,Gulu,Mad camp,2002,21-03-2017,History: The place was for one man called Ibero it was an open place but during insecurity times people made homes and that is how it came up.,"Other, Waterdrainage, Other, Other, Other, Other, Waterdrainage, Other, Other, Other","6,500",1250,None,"not, applicable",N/A,250,1:26,Pit latrine,N/A,N/A,N/A,yes,18000,N/A,N/A,N/A,"Motorbike, Walking",N/A,Yes,month,average,year,"Malaria, Typhoid, Diarrhrea, Other",no,Unknown,no,Unknown,no,Unknown,"Playground, Generalshops, Informalmarkets, Furnitureshops"
https://sdinet.org/settlement/1851/2569197,Uganda,Kampala,Nsooba,1970,23-02-2017,History: There was a prison controlled by the Kabaka in the region and the passer-bys risked being whisked away into the facility thus the adaptation of tip-toe movement whenever one was in the area which translated into Nsooba as known in the local language,"Sanitationsewage, Other, Waterdrainage, Other, Waterdrainage, Sanitationsewage, Other, Waterdrainage, Other, Waterdrainage","3,000",1000,high,"undeclared, illegal, unprotected",N/A,NA,1:6,N/A,300,"300,",1:10,yes,30000,N/A,Individual bins,dirt paths,"Taxi, Motorbike, Bicycle",20,Yes,never,average,month,"Malaria, Other, Tb, Other",yes,Unknown,yes,60,yes,60,"Generalshops, Informalmarkets, Foodshops, Clothingshops, Furnitureshops, Churches, Carrepair"
