URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1853/10732721,Zimbabwe,Kadoma,SQ,1970,05-12-2016,History:  THE SETTLEMENT WAS FOR COLDSTOREGE COMPANY WORKERS,"Sanitationsewage, Sanitationsewage, Housing, Tenuresecurity, Electricity, Sanitationsewage, Sanitationsewage, Housing, Tenuresecurity, Electricity",912,167,high,"declared, legal, protected",N/A,NA,1:1,N/A,3,"3,",1:304,no,5,1,Individual bins,N/A,N/A,N/A,Yes,month,average,quaterly,"Malaria, Hiv, Tb, Diarrhrea",yes,Unknown,yes,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1853/55629776,Zimbabwe,Kadoma,GB Annex,1970,21-09-2019,History: NO TOILETS AND WATER SUPPLY,"Housing, Sanitationsewage, Sanitationsewage, Waterdrainage, Electricity, Housing, Sanitationsewage, Sanitationsewage, Waterdrainage, Electricity",0,6,low,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,no,4960,N/A,Disorganized deposit,gravel roads,"Walking, Other",N/A,Yes,fortnighly,average,bi_annually,"Malaria, Typhoid, Diarrhrea, Tb",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,Generalshops
https://sdinet.org/settlement/1853/10801514,Zimbabwe,Kariba,UMATALI,1948,06-12-2016,History:  AROUND 1948 THE STRUCTURES WERE BULT TEMPERARY FOR THE BACHELARSAND THENATHERS FROM MALAWI BUILT THE REAL,"Waterdrainage, Sanitationsewage, Housing, Sanitationsewage, Housing, Waterdrainage, Sanitationsewage, Housing, Sanitationsewage, Housing","3,360",120,None,"declared, legal, protected",N/A,NA,"1:3,360",Food shops,N/A,N/A,N/A,yes,2,1,Common area inside settlement,tarred roads,N/A,4,Yes,month,average,quaterly,"Malaria, Typhoid, Diarrhrea, Hiv",yes,30 minutes,yes,30 minutes,yes,15 minutes,"Foodshops, Clothingshops"
https://sdinet.org/settlement/1853/10801516,Zimbabwe,Bulowayo,Iminyela,1954,05-12-2016,History: Only males stayed there in the 1969 period families were allowed to stay in those builds that were built of red bricks.,"Sanitationsewage, Waterdrainage, Housing, Electricity, Housing, Sanitationsewage, Waterdrainage, Housing, Electricity, Housing","5,300",543,None,"declared, legal, protected",N/A,NA,1:10,Police stations,132,N/A,1:53,yes,10,2,Individual bins,tarred roads,N/A,"""0""",Yes,month,average,month,"Diarrhrea, Malaria, Tb, Hiv",yes,Unknown,yes,Unknown,yes,30 minutes to 1 hour,"Policestations, Generalshops, Foodshops, Communications, Carrepair"
https://sdinet.org/settlement/1853/55635754,Zimbabwe,Kadoma,SINGLE QUARTERS,1960,21-09-2019,History: IT WAS OCCUPIED BY PEOPLE WHO WERE EMPLOYED AT D.W.T COMPANY,"Sanitationsewage, Waterdrainage, Housing, Electricity, Tenuresecurity, Sanitationsewage, Waterdrainage, Housing, Electricity, Tenuresecurity",0,30,low,"declared, legal, protected",N/A,NA,1:0,N/A,11,N/A,1:0,yes,4341,1,Individual bins,gravel roads,Taxi,N/A,Yes,never,average,other,"Hiv, Typhoid, Tb, Diarrhrea",yes,15 minutes,yes,15 minutes,yes,more than 1 hour,"Furnitureshops, Communications, Carrepair"
https://sdinet.org/settlement/1853/10801006,Zimbabwe,Mhangura,DAMBA,1955,05-12-2016,History:  THIS WAS GIVEN TO A WELFARE PERSON WHO USE TO CARES FOR DOMESTIC ANIMALS,"Waterdrainage, Sanitationsewage, Housing, Waterdrainage, Sanitationsewage, Waterdrainage, Sanitationsewage, Housing, Waterdrainage, Sanitationsewage","23,040",208,medium,"declared, legal, protected",N/A,NA,"1:1,536",N/A,N/A,N/A,N/A,yes,N/A,N/A,Disorganized deposit,dirt paths,N/A,N/A,N/A,N/A,N/A,N/A,"Malaria, Tb, Diarrhrea, Hiv",yes,30 minutes,yes,Unknown,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1853/10681188,Zimbabwe,Kadoma,GB Annex,1972,03-12-2016,History:  Yakatanga iri Hosp kwemakore vasingabhadhare ichibva yazoitwa location,"Tenuresecurity, Sanitationsewage, Housing, Tenuresecurity, Electricity, Tenuresecurity, Sanitationsewage, Housing, Tenuresecurity, Electricity",180,0,None,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,N/A,N/A,Individual bins,N/A,N/A,N/A,Yes,month,average,month,"Diarrhrea, Malaria, Diarrhrea, Other",yes,10 minutes,yes,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/1853/10736339,Zimbabwe,Kadoma,SQ,1948,05-12-2016,History:  IT USED TO BE ABUSH BT LATER BECAME SEWERAGE PLACE,"Waterdrainage, Housing, Sanitationsewage, Waterdrainage, Electricity, Waterdrainage, Housing, Sanitationsewage, Waterdrainage, Electricity",300,22,medium,"declared, legal, protected",N/A,NA,1:1,Police stations,N/A,N/A,N/A,yes,N/A,N/A,Common area inside settlement,dirt paths,N/A,N/A,Yes,month,N/A,month,"Malaria, Diarrhrea, Hiv, Malaria",yes,Unknown,yes,Unknown,yes,more than 1 hour,"Policestations, Generalshops, Foodshops, Furnitureshops, Churches, Communications, Carrepair"
https://sdinet.org/settlement/1853/10801760,Zimbabwe,Masvingo,Twizza flats,1970,05-12-2016,History:  The Chiefs hall,"Tenuresecurity, Housing, Housing, Sanitationsewage, Electricity, Tenuresecurity, Housing, Housing, Sanitationsewage, Electricity",625,125,None,"declared, legal, protected",N/A,NA,1:1,Informal markets,25,"16,",1:39,yes,5,1,Individual bins,tarred roads,N/A,N/A,N/A,never,none,never,Diarrhrea,yes,5 minutes,yes,5 minutes,yes,more than 1 hour,Informalmarkets
https://sdinet.org/settlement/1853/10800879,Zimbabwe,Chinoyi,CHEBANGA VILLAGE,1958,05-12-2016,History:  THIS PLACE IT WAS A PLACE OF HOUSEGIRLS AND GARDEN BOYS FOR THE WHITE PEOPLE WHO WERE WORKING IN THE MINE,"Waterdrainage, Sanitationsewage, Tenuresecurity, Housing, Housing, Waterdrainage, Sanitationsewage, Tenuresecurity, Housing, Housing",0,241,None,"declared, legal, protected",1,"0,Broken toilets:1",1:0,Playground,N/A,N/A,N/A,yes,N/A,N/A,Common area inside settlement,gravel roads,N/A,N/A,Yes,N/A,average,N/A,N/A,N/A,Unknown,N/A,Unknown,N/A,Unknown,"Playground, Banks, Policestations, Generalshops, Clothingshops, Furnitureshops, Churches, Carrepair"
