URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/344923/51863092,38_benin,38001_cotonou,AGONKAME - TOTO,1991,09-01-2020,History: X,"Waterdrainage, Tenuresecurity, Waterdrainage, Tenuresecurity",0,5,medium,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,45,N/A,Disorganized deposit,dirt paths,"Motorbike, Walking, Other",N/A,N/A,quaterly,none,N/A,"Typhoid, Other, Typhoid, Other",yes,more than 1 hour,no,Unknown,yes,more than 1 hour,N/A
https://sdinet.org/settlement/344923/43698638,38_benin,38001_cotonou,Ahouansori Ague,1985,12-03-2020,"History: Comme la communaut� est proche du lac et nous sommes des p�cheurs et aimons vivre au bord du lac,cela nous donne de la fraicheur et ainsi en 5mins nous pouvons aller p�cher et revenir � se reposer. C'est de l� que le nom gbedoutin toto a �t� choisi.","Waterdrainage, Waterdrainage, Housing, Sanitationsewage, Waterdrainage, Waterdrainage, Housing, Sanitationsewage",0,0,low,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,2,N/A,1:0,yes,5000,1,Common area outside settlement,tarred roads,"Taxi, Motorbike, Walking",N/A,Yes,week,good,quaterly,Typhoid,yes,15 minutes,yes,30 minutes,yes,Unknown,N/A
https://sdinet.org/settlement/344923/51327770,38_benin,38001_cotonou,DJIDJE 1 AYINADJE,1977,09-01-2020,History: AU DEPART PERSONNE N'Y HABITENT DANS LE QUATIER MAIS PEU DE TEMPS APRES ASSEZ  DE PERSONNE ONT COMMENCE PAS VENIR POUR Y HABITER D'OU LE NOM AHINADJE,"Waterdrainage, Housing, Electricity, Sanitationsewage, Tenuresecurity, Waterdrainage, Housing, Electricity, Sanitationsewage, Tenuresecurity",0,130,high,"declared, legal, protected",N/A,NA,1:0,N/A,N/A,N/A,N/A,yes,15000,N/A,Disorganized deposit,dirt paths,"Motorbike, Walking, Other",10,Yes,never,good,never,"Malaria, Tb, Typhoid, Diarrhrea",no,Unknown,no,Unknown,no,Unknown,"Temples, Mosques, Churches"
https://sdinet.org/settlement/344923/51869427,38_benin,38001_cotonou,hinde nord,1906,09-01-2020,History: Zinsoun qui set coupeur des coupeur des regimes et qui haditartdams le le dams unarllage lacustre appele togblamin de vemu jladali dans le quantier ahouansori toweta,"Tenuresecurity, Sanitationsewage, Other, Tenuresecurity, Sanitationsewage, Other",0,0,high,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,N/A,N/A,1:0,yes,5500,2,N/A,dirt paths,"Taxi, Motorbike, Walking",N/A,Yes,week,good,bi_annually,"Malaria, Tb, Typhoid, Diarrhrea",yes,15 minutes,yes,Unknown,yes,more than 1 hour,"Playground, Generalshops, Foodshops, Furnitureshops, Temples, Mosques"
https://sdinet.org/settlement/344923/51276811,38_benin,38001_cotonou,KPANKPAN LA LIBERTE,1970,09-01-2020,"History: C' ETAIT AU TEMPS DE LA GUERRE DE DAHOMEY QUE LES AIEUX ONT FUIENT LE VILLAGE POUR AHOUANSE-TOGBIGBA POUR VENIR ACUEILLIR LEUR RECOLTE , ILS DISENT QUE NOUS ALLONS SUIVRE  MR KOUDJOU PAR PEUR DES GENSES  DU ROI D'OU LE NOM KPANKPAN : MINO KPAN HONDO HOUNGO","Housing, Electricity, Sanitationsewage, Housing, Electricity, Sanitationsewage",0,NaN,medium,"not, applicable",N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,N/A,3,Disorganized deposit,gravel roads,"Motorbike, Walking, Other",N/A,Yes,fortnighly,good,month,"Malaria, Tb, Typhoid, Diarrhrea",yes,more than 1 hour,yes,Unknown,yes,more than 1 hour,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Temples, Mosques, Communications, Carrepair"
https://sdinet.org/settlement/344923/51986803,38_benin,38001_cotonou,KPAYOCODJI,1973,09-01-2020,History: Je me suis installe avec mon mari vers 1973.Nous �tions les toutes premiers a venir ici VOIR  les prostitu�es qui habitaient chez un certains appelle: COSME ZOUNYIN( le premier acqu�reur de parcelle avant nous. Selon Madame Mahougnon GBEMASSOU,"Electricity, Waterdrainage, Sanitationsewage, Housing, Electricity, Waterdrainage, Sanitationsewage, Housing",0,0,medium,N/A,N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,7500,N/A,Disorganized deposit,dirt paths,"Bus, Motorbike, Other",5,Yes,quaterly,good,quaterly,"Malaria, Typhoid, Diarrhrea",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,Unknown,N/A
https://sdinet.org/settlement/344923/51990855,38_benin,38001_cotonou,MIGBEHOUE,1980,26-09-2019,"History: Avant c est vide de baffons, et quand on a voulu y vivre et les autonotes nous chassent et nous d�truisent les cavernes. Et nous �tions obliges de payer le lieu et  meme chef quartier GANDONOU Francois a signe. Et apr�s nous avons remblaye avec la terre et les coquilles d utres. Nous avons fait l effort de rendre le lieu plus habitable et on a coupe les arbres et les herbes.","Tenuresecurity, Tenuresecurity",0,0,medium,"undeclared, illegal, unprotected",N/A,NA,1:0,Hanging toilet,1,N/A,1:0,yes,500,N/A,Common area outside settlement,dirt paths,"Motorbike, Walking, Other",N/A,Yes,week,none,week,"Malaria, Tb, Typhoid, Diarrhrea",no,Unknown,yes,more than 1 hour,yes,more than 1 hour,"Generalshops, Foodshops"
https://sdinet.org/settlement/344923/53173309,38_benin,38001_cotonou,MINONTCHOU-TOTO,1989,09-01-2020,"History: Les habitants de minontchou ont fuirent  les envahisseurs depuis ste-cecile pour se refuger ici au debut ,ils ont nommee le quartier minontchou","Tenuresecurity, Sanitationsewage, Housing, Tenuresecurity, Sanitationsewage, Housing",0,0,None,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,10,"10,",1:0,yes,9000,N/A,Disorganized deposit,dirt paths,"Motorbike, Walking",N/A,N/A,N/A,N/A,N/A,"Malaria, Tb, Typhoid, Diarrhrea",yes,more than 1 hour,yes,30 minutes,yes,more than 1 hour,"Foodshops, Clothingshops, Furnitureshops, Temples, Communications"
https://sdinet.org/settlement/1846/5171240,Ghana,Ladma,ABAFUM KOWE ABESE,1961,2/3/2017,"History: THE FIRST SETTLERS MIGRATED FROM ""MANTEASE"" AND OTHERS MIGRATED FROM KOFORIDUA TOO","Waterdrainage, Sanitationsewage, Electricity, Landtenure, Waterdrainage, Sanitationsewage, Electricity, Landtenure","15,000",3627,high,"declared, legal, protected",1,"1,Broken toilets:0",0.458333333,Flush,700,400,1:14,yes,50,1,Common area inside settlement,gravel roads,"Bus, Taxi, Walking",N/A,Yes,year,good,week,"MALARIA, CHOLERA, BLOOD PRESSURE",yes,more than 1 hour,no,Unknown,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1846/5131756,Ghana,Accra,MATAHEKO,1970,8/10/2016,"History: A fetish priest was the first to put up a structure and labelled it ""mataheko"" literally meaning ""i'm resting or sitting at a place""","Waterdrainage, Other, Housing, Sanitationsewage, Other, Waterdrainage, Other, Housing, Sanitationsewage, Other","900,000",3330,None,"declared, legal, protected",2,"2,Broken toilets:0","1:64,286",Flush,1355,1355,0.502777778,yes,30,N/A,Common area inside settlement,tarred roads,"Bus, Taxi, Motorbike",15,Yes,other,good,month,"Malaria, Typhoid, Cholera, Diarrhea",N/A,Unknown,N/A,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1846/16462951,Ghana,Accra,Osu Doku,1958,13-06-2017,"History: Osu Area was the name before because of the soldiers living here, which was also called ARE royal ingeneers during the second world war","Waterdrainage, Other, Waterdrainage, Other","12,000",4872,None,"declared, legal, protected",1,"50,Broken toilets:-49",1:10,Flush,500,1000,1:08,yes,120,1,Individual bins,tarred roads,"Bus, Taxi, Walking",1,Yes,other,good,never,"Malaria, Typhoid, High blood pressure, Diabetes",yes,Unknown,yes,more than 1 hour,yes,10 minutes,N/A
https://sdinet.org/settlement/1846/5123232,Ghana,Accra,ROMAN RIDGE AIRPORT,1950,10/10/2016,History: LEGION VILLAGE WAS A PLAN MEANT FOR THE OLD VETERAN OF THE SECOND WORLD WAR TO  SETTLE THERE,"Other, Sanitationsewage, Other, Other, Other, Sanitationsewage, Other, Other","24,000",3363,low,"declared, legal, protected",1,"6500,Broken toilets:-6499",1:04,Flush,500,6500,1:03,yes,30,1,Individual bins,N/A,"Bus, Train, Taxi",N/A,Yes,month,average,never,MALARIA,yes,Unknown,yes,30 minutes,yes,30 minutes,N/A
https://sdinet.org/settlement/1846/5141628,Ghana,Accra,KANESHIE,1970,9/10/2016,"History: There used to be a god who puts on lights every night so the settlement was named ""kaneshie"" which means (under the light).","Sanitationsewage, Waterdrainage, Electricity, Landtenure, Housing, Sanitationsewage, Waterdrainage, Electricity, Landtenure, Housing","60,000",8187,None,"declared, legal, protected",1,"120,Broken toilets:-119",0.195138889,Flush,2000,600,1:23,yes,25,1,Individual bins,tarred roads,"Bus, Taxi, Motorbike",4,Yes,year,good,week,"MALARIA, FEVER, COUGHING",yes,Unknown,no,Unknown,yes,15 minutes,N/A
https://sdinet.org/settlement/1846/5130426,Ghana,Accra,HP,1971,5/7/2018,History: Around 1971 when the Europeans settled and rared pigs for human consumption,"Waterdrainage, Sanitationsewage, Housing, Electricity, Sanitationsewage, Waterdrainage, Sanitationsewage, Housing, Electricity, Sanitationsewage","200,000",8250,None,"declared, legal, protected",2,"80,Broken toilets:-78","1:2,247",Flush,2000,3500,1:36,yes,75,1,Common area inside settlement,dirt paths,"Bus, Taxi, Walking",N/A,Yes,month,good,other,"Maleria, Thyphoid, Cholera, Diarrhea",yes,more than 1 hour,no,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1846/5136364,Ghana,Accra,RING WAY,1970,13-01-2018,History: OSU IS AN OLD TOWN WITH THE INDEPENDENCE SQUARE AND THE CASTLE,"Waterdrainage, Housing, Electricity, Sanitationsewage, Waterdrainage, Housing, Electricity, Sanitationsewage","1,250,000",3993,None,"declared, legal, protected",1,"500,Broken toilets:-499",0.616666667,Flush,700,2000,0.363194444,yes,25,1,Individual bins,tarred roads,"Bus, Taxi, Walking",20,Yes,N/A,N/A,N/A,MALARIA,yes,Unknown,N/A,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1846/3082992,Ghana,Accra,Kanda,1892,4/3/2017,"History: The first settler Osman Mohammed  migrated from Zongo Lane (Cow lane) in Accra Central following development around the cattle market and moved to Adabraka. After a period of time, the place became developed forcing him to relocated to the current location. He named the place Kanda Ruga. Kanda is a name of a Yoruba from Nigeria who also lived and farm within the settlement. As the settlement developed during Nkrumah's era, the name Kanda dominated and became an official name of the settlement.","Sanitationsewage, Waterdrainage, Housing, Electricity, Other, Sanitationsewage, Waterdrainage, Housing, Electricity, Other","7,500",417,None,"declared, legal, protected",180,"180,Broken toilets:0",1:33,Flush,10,180,1:39,yes,90,1,Individual bins,dirt paths,"Motorbike, Bicycle, Walking",N/A,Yes,month,good,other,"Malaria, Cholera, Fever (cold), STIs",no,Unknown,no,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1846/5122566,Ghana,Accra,DARKUMAN EAST,1970,10/10/2016,"History: A CHIEF CALLED DARKU WENT TO THE ASSINI'S TO ASK FOR LAND AND SETTLED THERE, HENCE THE NAME DARKUMAN","Waterdrainage, Waterdrainage, Other, Electricity, Waterdrainage, Waterdrainage, Waterdrainage, Other, Electricity, Waterdrainage",N/A,1654,medium,"declared, legal, protected",2,"2,Broken toilets:0",1:00,Flush,900,900,1:00,yes,45,1,Individual bins,dirt paths,"Bus, Taxi, Walking",N/A,Yes,year,average,year,"MALARIA, CHOLERA, FEVER, DIARRHOEA",yes,Unknown,N/A,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1846/5146232,Ghana,Accra,KOMKOMLELE WEST,1940,11/10/2016,History: THIS COMMUNITY EMERGED AFTER THE SECOND WORLD DURING THE 1940s,"Waterdrainage, Sanitationsewage, Housing, Electricity, Other, Waterdrainage, Sanitationsewage, Housing, Electricity, Other","1,000",480,None,"declared, legal, protected",100,"100,Broken toilets:0",1:08,Flush,100,200,1:03,yes,60,2,Individual bins,dirt paths,"Bus, Taxi, Walking",N/A,N/A,N/A,N/A,N/A,"DIABETES, MALERIA, BLOOD PRESSURE",yes,Unknown,yes,more than 1 hour,yes,30 minutes,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Mosques, Churches, Communications, Carrepair"
https://sdinet.org/settlement/1846/5131196,Ghana,Accra,SHIABU,1970,6/3/2017,History: ONE MAN CALLED OLY DADE IS BELIEVED TO BE THE FIRST SETTLER AT SHIAHU AROUND 1970s. GRADUALLY OTHERS JOINED HIM AND SHIABU BECAME A SETTLEMENT,"Waterdrainage, Other, Other, Housing, Landtenure, Waterdrainage, Other, Other, Housing, Landtenure","15,000",2105,None,"declared, legal, protected",1,"300,Broken toilets:-299",1:45,Flush,700,800,1:10,yes,30,1,Common area inside settlement,dirt paths,"Bus, Taxi, Walking",10,N/A,N/A,N/A,N/A,"CHOLERA, MALARIA, DIARRHEA, HEAT RUSHES",yes,Unknown,yes,more than 1 hour,yes,more than 1 hour,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Mosques, Churches, Communications, Carrepair"
https://sdinet.org/settlement/1846/3634382,Ghana,Accra,SURAJ,1992,13-06-2019,History: TERRY THE LAND SOLD TO THE PEOPLE IN OSU CHIEFS WHICH WAS 1959/THEN PEOPLE CAME AND BOUGHT THE LAND,"Waterdrainage, Sanitationsewage, Landtenure, Housing, Electricity, Waterdrainage, Sanitationsewage, Landtenure, Housing, Electricity","70,000",456,None,"declared, legal, protected",N/A,NA,1:01,N/A,70,N/A,N/A,yes,75,1,Common area outside settlement,dirt paths,"Bus, Taxi, Walking",N/A,Yes,month,good,month,"MALARIA, DIABETTES, DIARRHEA",yes,15 minutes,N/A,Unknown,yes,more than 1 hour,"Generalshops, Foodshops, Mosques, Churches"
https://sdinet.org/settlement/1846/5126739,Ghana,Accra,ADWENBU,1956,10/10/2016,"History: Residents in the settlement normally go to a river for fishing and they get plenty mudfish. That is how they named the settlement ""adwenbu"" which means madfish in Ga.","Waterdrainage, Sanitationsewage, Electricity, Housing, Landtenure, Waterdrainage, Sanitationsewage, Electricity, Housing, Landtenure","87,500",6073,low,"declared, legal, protected",1,"1,Broken toilets:0","1:8,750",Flush,3500,500,1:22,yes,30,2,Common area inside settlement,dirt paths,"Bus, Taxi, Motorbike",N/A,Yes,month,good,N/A,"Malaria, Cholera, Skin rashes, Thyphiod",yes,Unknown,N/A,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/1846/5150951,Ghana,Accra,BLEMAGOR,1865,13-01-2018,History: THE LAND WAS FOR THE ASENE FAMILY AND THEY GAVE IT OUT TO THE FIRST MAN WHO SETTLED THERE WITH HIS FAMILY TO TRADE,"Waterdrainage, Sanitationsewage, Electricity, Housing, Waterdrainage, Sanitationsewage, Electricity, Housing","16,980",2293,None,"declared, legal, protected",200,"200,Broken toilets:0",0.090277778,Flush,500,500,1:19,yes,50,2,Common area inside settlement,tarred roads,"Bus, Taxi, Walking",3,Yes,month,good,month,"MALERIA, TYPHOID, SKIN RASHES, CHOLERA",yes,30 minutes,no,Unknown,no,Unknown,"Foodshops, Clothingshops, Furnitureshops, Mosques, Churches, Communications, Carrepair"
https://sdinet.org/settlement/1846/5136937,Ghana,Accra,ALAJO,1879,10/10/2016,History: THE SISALERS WERE THE FIRST PEOPLE WHO SETTLED THERE AND LATER OTHER TRIBE CAME IN TO SETTLED BUT THE ORIGINAL OWNERS OF THE LAND WAS THE GA,"Sanitationsewage, Waterdrainage, Landtenure, Housing, Electricity, Sanitationsewage, Waterdrainage, Landtenure, Housing, Electricity","60,000",20000,high,"declared, legal, protected",3000,"3000,Broken toilets:0",1:20,Flush,300,250,0.117361111,yes,80,1,Common area inside settlement,dirt paths,"Bus, Taxi, Walking",N/A,Yes,year,average,other,"MALERIA, TYPHOID, CHOLERA, BODY PAINS",yes,Unknown,no,Unknown,yes,30 minutes,N/A
