URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1860/13582603,Sierra Leone,36001_freetown,New London,1985,19-02-2017,History: The place New London was use for planting rice and the person that was doing that is a woman and the woman become old and decide to give the place to a humble  man called Loko man and start developing the place,"Waterdrainage, Other, Other, Tenuresecurity, Other, Waterdrainage, Other, Other, Tenuresecurity, Other","35,000",350,None,"undeclared, illegal, unprotected",1,"1,Broken toilets:0","1:11,667",Flush,6,"6,","1:2,500",yes,5000,N/A,Disorganized deposit,dirt paths,"Bus, Taxi, Walking",N/A,Yes,other,good,month,"Malaria, Typhoid, Malaria, Other",yes,30 minutes,yes,30 minutes,yes,more than 1 hour,"Playground, Policestations, Generalshops, Furnitureshops, Communications, Carrepair"
https://sdinet.org/settlement/1860/13582604,Sierra Leone,36001_freetown,Mamba ridge one,1970,11-03-2017,History: It was a government land where civil servant workers live and also where the quarry was established and also civil servant quaters where the civil servant worker later own the community,"Waterdrainage, Other, Other, Waterdrainage, Other, Other",0,4,None,"declared, legal, protected",5,"4,Broken toilets:1",1:0,Flush,17,"17,",1:0,yes,5000,"""0.0""",Disorganized deposit,dirt paths,"Bus, Taxi, Walking",N/A,Yes,month,good,quaterly,"Malaria, Typhoid, Diarrhrea, Other",yes,30 minutes to 1 hour,yes,Unknown,yes,30 minutes to 1 hour,"Generalshops, Mosques, Churches, Carrepair"
https://sdinet.org/settlement/1860/13582606,Sierra Leone,36001_freetown,Dokortie,1950,11-03-2017,History: The loko tribe started this settlement. They used to grow vegetables and rice planting,"Other, Waterdrainage, Sanitationsewage, Tenuresecurity, Housing, Other, Waterdrainage, Sanitationsewage, Tenuresecurity, Housing",0,370,None,"undeclared, illegal, unprotected",40,"22,Broken toilets:18",1:0,Flush,6,"6,",1:0,yes,150000,N/A,Disorganized deposit,gravel roads,"Car, Motorbike, Walking",N/A,Yes,week,good,month,"Malaria, Typhoid, Diarrhrea, Other",yes,more than 1 hour,yes,15 minutes,yes,more than 1 hour,"Generalshops, Informalmarkets, Foodshops, Furnitureshops, Communications, Carrepair"
https://sdinet.org/settlement/1860/52849481,Sierra Leone,36001_freetown,Magazine community,1978,18-10-2019,"History: After Kabal lot burn Alfred akibo bet saw people are suffring in the community so he decided to take people to that settlement to stay. The community has a fishing company because most people depends on the company for there survival. 
Another settler from magazine was founded in 1985 by sheriff Thollah. The place was dumping sit (bomoh) bad boy take that place to be a hide out place after stelling from people.","Waterdrainage, Sanitationsewage, Other, Housing, Waterdrainage, Sanitationsewage, Other, Housing",N/A,1200240,None,"undeclared, illegal, unprotected",N/A,NA,1:0,N/A,13,"2,",1:0,yes,100,"""0.0""",Common area inside settlement,tarred roads,"Bus, Taxi",7,Yes,month,N/A,month,"Malaria, Other",no,Unknown,no,Unknown,no,Unknown,"Playground, Foodshops, Mosques, Communications"
https://sdinet.org/settlement/1860/13298043,Sierra Leone,36001_freetown,Congo Town Wharf,1944,15-01-2018,History: According to Bai Conteh: He stated that the location was discovered by limba due to their invasion to settle in the community the community was named after them (limba wharf) which later changed to Congo Town wharf.,"Waterdrainage, Sanitationsewage, Tenuresecurity, Waterdrainage, Sanitationsewage, Tenuresecurity","1,750",350,None,"undeclared, illegal, unprotected",1,"1,Broken toilets:0",1:159,Hanging toilet,20,"30,",1:35,yes,5000,N/A,Common area outside settlement,gravel roads,"Bus, Taxi, Walking",N/A,Yes,week,good,month,"Malaria, Diarrhrea, Typhoid, Other",yes,30 minutes,no,Unknown,yes,30 minutes,"Playground, Generalshops, Foodshops, Clothingshops, Furnitureshops, Carrepair"
https://sdinet.org/settlement/1860/13582608,Sierra Leone,36001_freetown,New Life City,1980,24-02-2017,History: Pa Brima Yusufu and pa Lamina settle in this  community in 1980 the place was a swampy they use to plant vegetables,"Other, Other, Waterdrainage, Tenuresecurity, Other, Other, Waterdrainage, Tenuresecurity",200,200,medium,"undeclared, illegal, unprotected",3,"3,Broken toilets:0",1:40,Flush,1,"10,",1:18,yes,5000,N/A,Common area inside settlement,tarred roads,"Bus, Taxi, Walking",N/A,Yes,week,good,month,"Malaria, Typhoid, Diarrhrea, Other",yes,15 minutes,yes,10 minutes,yes,30 minutes,"Playground, Generalshops, Foodshops, Furnitureshops, Mosques, Churches, Carrepair"
https://sdinet.org/settlement/1860/13582607,Sierra Leone,36001_freetown,Quarry,1975,07-03-2017,"History: When government close the casting of stone in the quarry in the year 1980, people started to come in to settle, some people pass throw government to acoure land some came in as land grabbers as there land","Waterdrainage, Tenuresecurity, Sanitationsewage, Waterdrainage, Tenuresecurity, Sanitationsewage","2,000",540,None,"undeclared, illegal, unprotected",5,"5,Broken toilets:0",1:286,Pour flush,3,"3,",1:400,yes,100000,N/A,Common area outside settlement,gravel roads,"Taxi, Motorbike, Walking",N/A,Yes,month,good,week,"Malaria, Typhoid, Other, Diarrhrea",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,"Generalshops, Foodshops, Furnitureshops, Mosques"
https://sdinet.org/settlement/1860/52849482,Sierra Leone,36001_freetown,Susan's Bay / Big wharf,1970,19-10-2019,"History: The are no people living in the settlement because the settlement is full of water the first settler are the limbs and the fullah by then there are a lot of boat from other country, and also inland rivers they are coming into the settlement to do business like coal stick mango wood palm oil etc the exchange of buying and selling people decided to build a temporary settlement ( Allen). So as the population increase banking started to take place and people started to do business within the settlement. Because of the population of the upper land people started banking to stay at the settlement. 
In 1992 effective banking because minister major R Y Koroma  empowed the young on banking.","Waterdrainage, Sanitationsewage, Other, Waterdrainage, Sanitationsewage, Other","12,000,000",1500435,None,"undeclared, illegal, unprotected",N/A,NA,"1:461,538",N/A,18,"8,","1:1,500,000

div class=""indicator",yes,50000,N/A,Common area inside settlement,dirt paths,"Walking, Other",10,Yes,month,N/A,never,"Malaria, Typhoid, Other, Diarrhrea",yes,Unknown,yes,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/1860/13298049,Sierra Leone,36001_freetown,Portor Levuma,1938,03-03-2017,History: The lokos established this community. They used to plant rice and vegetables as a means of livelihood,"Sanitationsewage, Tenuresecurity, Housing, Waterdrainage, Electricity, Sanitationsewage, Tenuresecurity, Housing, Waterdrainage, Electricity","5,031",250,None,"undeclared, illegal, unprotected",80,"58,Broken toilets:22",1:61,Pit latrine,N/A,N/A,N/A,yes,50,N/A,Common area inside settlement,dirt paths,"Taxi, Motorbike, Walking",N/A,Yes,month,good,month,"Malaria, Tb, Typhoid, Diarrhrea",yes,10 minutes,yes,30 minutes,yes,more than 1 hour,"Playground, Churches, Carrepair"
https://sdinet.org/settlement/1860/13581248,Sierra Leone,36001_freetown,Madina,1990,20-02-2017,"History: In the year 1990, this locality was bushy and people were so frightened. Around 1995 a wounded soldier by the of Joe Salieu was the first to have settled in this community and he named it Madina in remembrance of his home town.","Other, Other, Other, Other, Other, Other, Other, Other","11,368",268,None,"declared, legal, protected",3,"2,Broken toilets:1","1:5,684",Flush,2,"2,",1:669,yes,N/A,N/A,Individual bins,gravel roads,"Bus, Taxi, Motorbike",N/A,Yes,week,N/A,N/A,"Malaria, Typhoid, Diarrhrea, Other",yes,30 minutes,yes,30 minutes,yes,30 minutes,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Mosques, Churches, Carrepair"
