URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/1810/2966084,South Africa,Cape Town,MARAY,2001,28-08-2018,History: WE ARE FROM DIFFERENT PLACES WE NEEDEDDEVELOPMENT,"Waterdrainage, Sanitationsewage, Housing, Electricity, Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity, Landtenure","10,000",515,None,"undeclared, illegal, unprotected",N/A,NA,1:196,N/A,10,N/A,"1:1,000",yes,N/A,2,Common area outside settlement,dirt paths,"Bus, Train, Taxi",1,Yes,week,good,month,"TB, HIV/AIDS, DIABETES, PNEUMONIA",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1810/2318109,South Africa,Cape Town,SIYAHLALA F SECTION,1999,28-08-2018,History: IT AS A FOREST BEFORE 1999. THERE WERE NO SERVICES AND AS THE COMMUNITY WE NEGOTIATED WITH MUNICIPAL FOR SERVICES,N/A,0,125,low,"undeclared, illegal, unprotected",N/A,NA,1:0,N/A,3,N/A,1:0,N/A,N/A,2,Common area outside settlement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1810/4471689,South Africa,Cape Town,TSHATSHALAZENI,2003,28-08-2018,History: PEOPLE WERE FROM DIFFERENT PLACES AND BROWNS FARM BACK YARD WHEN THE CONSTRUCTION START BUILDING,"Waterdrainage, Sanitationsewage, Landtenure, Waterdrainage, Housing, Waterdrainage, Sanitationsewage, Landtenure, Waterdrainage, Housing",168,43,None,"undeclared, illegal, unprotected",N/A,NA,1:28,N/A,2,N/A,1:84,yes,N/A,2,Common area inside settlement,gravel roads,"Bus, Train, Taxi",1,Yes,N/A,bad,month,"HIV/AIDS, DIABETES, ATHARITIS, TUBERCULOSIS",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,"Generalshops, Foodshops, Clothingshops"
https://sdinet.org/settlement/1810/455422,South Africa,Cape Town,A.T MICHAEL MAPHONGWANA,1992,21-08-2018,"History: In1990 there was a fight amongst the president of Site C, A section that resulted to the establishment of A section","Electricity, Waterdrainage, Waterdrainage, Landtenure, Other, Electricity, Waterdrainage, Waterdrainage, Landtenure, Other",297,100,None,"declared, legal, protected",N/A,NA,1:10,N/A,4,"2,",1:149,no,N/A,1,Common area outside settlement,dirt paths,"Bus, Train, Taxi",N/A,Yes,N/A,good,N/A,"TB, Asthma, HIV/Aids, Diabetes",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1810/2973369,South Africa,Cape Town,DONTSA PHILLIPI,2002,28-08-2018,History: THEY WERE THE BACK YARDERS OF WOODBAAI OUR NEIGHBOUHOOD,"Waterdrainage, Sanitationsewage, Landtenure, Electricity, Housing, Waterdrainage, Sanitationsewage, Landtenure, Electricity, Housing",45,15,None,"undeclared, illegal, unprotected",N/A,NA,1:15,N/A,2,N/A,1:23,yes,N/A,2,Common area outside settlement,dirt paths,"Bus, Train, Taxi",1,Yes,week,none,never,"TB, MANINGITIS, HIV/AIDS, DIABETES",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1810/5253727,South Africa,Cape Town,TAMBO SQUARE BACKYARDERS,2000,14-08-2018,"History: THEY WERE PROMISED TO GET HOUSES, THEY CAME FROM THE BACKYARDS BUT THE MUNICIPALITY DID NOT BUILD FOR THEM","Waterdrainage, Landtenure, Sanitationsewage, Electricity, Housing, Waterdrainage, Landtenure, Sanitationsewage, Electricity, Housing","3,750",365,medium,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,1,N/A,"1:3,750",no,N/A,N/A,Disorganized deposit,dirt paths,"Bus, Train, Taxi",N/A,Yes,week,none,never,"DIABETES, TB, HIV/AIDS, ATHRITIS",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Communications"
https://sdinet.org/settlement/1810/3581345,South Africa,Johannesburg,COAL YARD,1980,30-08-2018,History: THE PLACE WAS A COAL SELLING YARDS IN THE 70'S AND IN 1990 WE STARTED STAYING AND AFTER 1990 PEOPLE ERECTED SHACKS,"Housing, Landtenure, Electricity, Housing, Landtenure, Electricity",639,213,None,"declared, legal, protected",N/A,NA,1:107,N/A,3,N/A,1:213,no,N/A,N/A,Common area outside settlement,tarred roads,"Bus, Train, Taxi",N/A,Yes,month,bad,year,"DIABETES, TB",yes,15 minutes,yes,15 minutes,yes,30 minutes to 1 hour,"Generalshops, Foodshops, Clothingshops, Furnitureshops, Communications, Carrepair"
https://sdinet.org/settlement/1810/1126619,South Africa,Cape Town,RR MASAKHANE,1985,16-01-2018,"History: WE WERE COMING AROUND SITE B, P SECTION, R SECTION AND V SECTION. WE SEE THE OPEN SPACE AND IT WAS SOUNDING BY FORCE. WE ALSO KNOWING THAT SPACE IS BELONG BY METRO RAIL WE FORCE TO BUILD OUR STRUCTURES AND THEY TRY TO PUSH US, BUT WE STAY AND WE ARE TELLING THEM WE ARE NOT GOING ANY WHERE.......","Sanitationsewage, Waterdrainage, Housing, Electricity, Sanitationsewage, Waterdrainage, Housing, Electricity",928,45,None,"declared, legal, protected",N/A,NA,1:116,N/A,N/A,N/A,N/A,no,N/A,1,Common area inside settlement,dirt paths,"Bus, Train, Taxi",1,Yes,week,average,week,"AIDS, TB, CANCER",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,Generalshops
https://sdinet.org/settlement/1810/2001843,South Africa,Cape Town,SCHOOL SITE 11,2002,28-08-2018,History: WE WERE STAY OVER THE ROAD BEFORE WE STAY HERE,"Waterdrainage, Landtenure, Electricity, Sanitationsewage, Other, Waterdrainage, Landtenure, Electricity, Sanitationsewage, Other","1,950",666,None,"declared, legal, protected",N/A,NA,1:13,N/A,14,N/A,1:217,yes,N/A,1,Common area inside settlement,gravel roads,"Bus, Train, Taxi",N/A,Yes,month,bad,never,"TB, HIV, CANCER, HIGH BLOOD",N/A,Unknown,N/A,Unknown,N/A,Unknown,Churches
https://sdinet.org/settlement/1810/2973889,South Africa,Cape Town,NKELEKETE PHILLIPI,1995,28-08-2018,History: COMMUNITY MOVED TO THIS AREA FROM DIFFERENT PLACES OF PHILLIPI THAT WERE NEEDED FOR DEVELOPMENT,"Waterdrainage, Sanitationsewage, Electricity, Landtenure, Waterdrainage, Sanitationsewage, Electricity, Landtenure",303,107,None,"undeclared, illegal, unprotected",N/A,NA,1:25,N/A,1,N/A,N/A,yes,N/A,1,Common area outside settlement,dirt paths,"Train, Taxi, Walking",1,Yes,week,none,never,"TB, MANENGITIS, DIABETES, CANCER",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1810/1113350,South Africa,Cape Town,AT 6,1985,21-08-2018,History: WE WERE COMING FROM CROSS ROAD AND THEN WE MOVED HERE THATS WHEN AT SETTLEMENT STARTED,"Landtenure, Housing, Sanitationsewage, Waterdrainage, Landtenure, Housing, Sanitationsewage, Waterdrainage",336,112,None,"undeclared, illegal, unprotected",N/A,NA,1:48,N/A,N/A,N/A,N/A,yes,N/A,1,Common area outside settlement,tarred roads,"Bus, Train, Taxi",N/A,Yes,month,bad,never,"TB, HIV, DIABETICS, EPILEPSY",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,more than 1 hour,Generalshops
https://sdinet.org/settlement/1810/160705,South Africa,Meyerton,BOITUMELO (WATER VAAL),1970,30-08-2018,History: THE LAND WAS A FARM. THE FARMER LEFT THEM AT THE BUSH AND THEY CAME TO THIS LAND.THEY EVICTED MANY TIMES,"Housing, Landtenure, Sanitationsewage, Electricity, Other, Housing, Landtenure, Sanitationsewage, Electricity, Other","1,144",385,None,"undeclared, illegal, unprotected",18,"7,Broken toilets:11",1:163,Chemical,N/A,N/A,N/A,no,N/A,1,Common area inside settlement,tarred roads,"Train, Taxi, Walking",N/A,Yes,week,good,week,"DIBATES, HIGH BLOOD, ATHRAITIES, HIV",no,Unknown,no,Unknown,no,Unknown,"Playground, Informalmarkets, Churches"
https://sdinet.org/settlement/1810/2966875,South Africa,Cape Town,XHWITHINJA,1989,28-08-2018,History: IN 1998 SOME OF US WERE APPROVED TO GET HOUSES SO WE WERE LEFT FROM THAT NUMBER OF PEOPLE,"Waterdrainage, Housing, Sanitationsewage, Housing, Housing, Waterdrainage, Housing, Sanitationsewage, Housing, Housing",750,70,None,"undeclared, illegal, unprotected",N/A,NA,1:47,N/A,3,N/A,1:250,yes,N/A,N/A,Common area outside settlement,tarred roads,"Bus, Train, Taxi",1,Yes,week,bad,month,"FEVER/FLUE, DIABETES, TUBERCULOSIS, PNEUMONIA",yes,more than 1 hour,yes,more than 1 hour,no,Unknown,"Generalshops, Foodshops"
https://sdinet.org/settlement/1810/1112464,South Africa,Cape Town,AT 5,1987,21-08-2018,History: PEOPLE WERE COMING TO DIFFERENT PLACES TO THIS SETTLEMENT THAT'S WHY THE IS THIS SETTLEMENT AT 5,"Housing, Landtenure, Housing, Landtenure",336,42,None,"undeclared, illegal, unprotected",N/A,NA,1:48,N/A,N/A,N/A,N/A,yes,N/A,1,Common area outside settlement,tarred roads,"Bus, Train, Taxi",N/A,Yes,month,good,month,"TB, HIV/AIDS, CHICKEN POX, ASTHMA",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/1810/1126100,South Africa,Cape Town,WEST BEACH 4,2005,28-08-2018,History: WE ARE FROM BACK YARDS,"Housing, Sanitationsewage, Housing, Sanitationsewage",0,126,low,"undeclared, illegal, unprotected",N/A,NA,1:0,N/A,3,N/A,1:0,yes,N/A,5,Common area inside settlement,dirt paths,"Taxi, Walking",N/A,Yes,month,bad,N/A,"TB, DIAREA, AIDS",yes,Unknown,yes,Unknown,no,Unknown,Foodshops
https://sdinet.org/settlement/1810/1072479,South Africa,Cape Town,MASILUNGE AB,1991,21-08-2018,History: WHEN WE CAME HERE IT WAS A BUSH AND A DUMPING SITE THEN WE CLEANED IT UP,"Waterdrainage, Landtenure, Sanitationsewage, Waterdrainage, Other, Waterdrainage, Landtenure, Sanitationsewage, Waterdrainage, Other",392,64,medium,"declared, legal, protected",9,"9,Broken toilets:0",1:28,Flush,3,"1,",1:196,yes,N/A,1,Individual bins,gravel roads,"Bus, Train, Taxi",3,Yes,month,average,month,"TB/AIDS, EXIMA, HIGH BLOOD/LOW BLOOD, DIABETIC",no,Unknown,no,Unknown,no,Unknown,Generalshops
https://sdinet.org/settlement/1810/453137,South Africa,Cape Town,STRONG YARD,2005,14-08-2018,"History: THEY ARE BACK  YARDS,AND WHEN THEY COME BACK TO THE HOUSES THEY WERE FIRED AND MOVE BACK TO THE PLACE",N/A,0,84,high,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Common area inside settlement,dirt paths,"Taxi, Walking",N/A,N/A,N/A,N/A,N/A,"TB, DIARHEA",yes,30 minutes to 1 hour,yes,15 minutes,no,Unknown,N/A
https://sdinet.org/settlement/1810/1126092,South Africa,Cape Town,PETER TOSH,1995,28-08-2018,History: ORIGINALLY WE COME FROM CROSSROAD STAYING WITH PARENTS AND RELATIVES THEY WERE RELOCATED TO SITE C AND AS THE HOUSES BECAME OVERCROWDED AND WE AS THIS COMMUNITY MEMBERS HAVE NUMEROUS MEETINGS AND DECIDED TO INVADE THIS PIECE OF LAND WE LIVE IN TODAY,"Waterdrainage, Electricity, Sanitationsewage, Landtenure, Sanitationsewage, Waterdrainage, Electricity, Sanitationsewage, Landtenure, Sanitationsewage",222,40,None,"undeclared, illegal, unprotected",N/A,NA,1:32,N/A,2,N/A,1:111,no,N/A,2,Common area inside settlement,dirt paths,"Bus, Train, Taxi",N/A,Yes,week,good,month,"TB, DIABETES, HIGH BLOOD PRESSURE, HIV",yes,30 minutes,N/A,Unknown,no,Unknown,"Informalmarkets, Churches"
https://sdinet.org/settlement/1810/1126093,South Africa,Cape Town,WEST BEACH 1,2000,28-08-2018,"History: PEOPLE OF WEST BEACH WERE STAYING IN THEMBENI AND FROM BACK YARD, SOME OF THEM CAME FROM KHAYELITSHA THEN THEY COMBINED AND BUILD THE WEST BEACH SETTLEMENT","Housing, Landtenure, Waterdrainage, Electricity, Sanitationsewage, Housing, Landtenure, Waterdrainage, Electricity, Sanitationsewage",712,101,low,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,2,"2,",1:356,yes,N/A,1,Common area outside settlement,N/A,Taxi,N/A,Yes,N/A,none,other,"HIGH BLOOD, HIV/AIDS, DIABETES",yes,more than 1 hour,yes,more than 1 hour,N/A,Unknown,"Generalshops, Informalmarkets, Foodshops"
https://sdinet.org/settlement/1810/455828,South Africa,Cape Town,GARDEN CITY,1994,14-08-2018,"History: THE CITY OF CAPE TOWN GAVE GARDEN CITY THE MONEY TO BUILD SUBSIDE HOUSES BUT THEY DID NOT FINISHED TO BUILD HOUSES. SOME PEOPLE WHICH CAME FROM DIFFERENT PLACES SUCH AS SHUKUSHUKUMA, BURUND AND KHAYELITSHA SAW A VACANT LAND AND BUILD THEIR OWN SHACKS","Waterdrainage, Sanitationsewage, Housing, Electricity, Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity, Landtenure","2,160",720,medium,"undeclared, illegal, unprotected",N/A,NA,1:54,N/A,20,N/A,N/A,yes,N/A,N/A,Common area inside settlement,dirt paths,"Bus, Train, Taxi",N/A,Yes,week,bad,month,"TB, HIV, HIGH BLOOD, DIABETES",yes,Unknown,no,Unknown,no,Unknown,"Generalshops, Foodshops, Churches"
https://sdinet.org/settlement/1810/4542790,South Africa,Cape Town,LWAZI PARK,1994,14-12-2017,"History: THERE WAS A FIRST GROUP ON THIS SPACE,THAT WAS LATER MOVED TO MFULENI AND SOME WERE MOVED TO BARCELONA BUT IN APRIL 2011 SOME OF THOSE WERE RELOCATED BACK TO THIS SETTLEMENT.","Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity, Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity",320,38,None,"undeclared, illegal, unprotected",N/A,NA,1:27,N/A,6,N/A,1:107,yes,N/A,1,Common area inside settlement,gravel roads,"Bus, Train, Taxi",N/A,Yes,month,good,never,"AIDS, TB, STROKE, DIABETES",yes,30 minutes to 1 hour,yes,30 minutes,yes,30 minutes to 1 hour,N/A
https://sdinet.org/settlement/1810/1274331,South Africa,Port Elizabeth,Silver Town Power Station,1989,04-09-2018,"History: WE CAME FROM INDLOVINI, THE MUNICIPALITY PROMISED TO BUILD US HOUSES THEN WE SETTLED HERE IN POWER STATION","Housing, Landtenure, Electricity, Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity, Waterdrainage, Sanitationsewage",0,285,None,"declared, legal, protected",N/A,NA,1:1,Chemical,20,N/A,1:0,no,N/A,1,Individual bins,tarred roads,"Bus, Taxi",4,Yes,month,none,month,"FEVER, TB, HIV, DIABETES",yes,30 minutes to 1 hour,N/A,Unknown,yes,more than 1 hour,Generalshops
